X,Y,profundidad,pis,ce
751637.3943,1552571.912,59,122,41.66687
751689.6854,1552540.329,59,122,50.76027
751637.3943,1552571.912,60,122,41.66687
751689.6854,1552540.329,60,122,50.76027
751360.4518,1552393.521,9,123,54.7723
751360.4518,1552393.521,10,123,54.7723
751691.7312,1552661.551,57,123,37.01601
751691.7312,1552661.551,58,123,37.01601
751421.1109,1552521.63,5,124,30.00345
751421.1109,1552521.63,6,124,30.00345
751471.8163,1552311.049,10,124,75.74249
751307.0611,1552459.96,57,124,25.05035
751307.0611,1552459.96,58,124,25.05035
751424.7093,1552485.471,5,125,22.05847
751424.7093,1552485.471,6,125,22.05847
751451.5889,1552269.121,8,125,39.36227
751470.4667,1552447.956,9,125,62.211
751605.3042,1552571.374,7,126,33.26878
751724.1047,1552392.458,11,126,71.93612
751724.1047,1552392.458,12,126,71.93612
751636.7059,1552477.378,59,126,49.55379
751636.7059,1552477.378,60,126,49.55379
751689.6854,1552540.329,5,127,50.76027
751338.3107,1552216.757,8,128,60.90403
751724.0681,1552483.775,4,129,72.215
751509.9899,1552538.556,6,129,18.34288
751509.9899,1552538.556,7,129,18.34288
751509.9899,1552538.556,8,129,18.34288
751395.0356,1552480.972,57,129,26.7612
751395.0356,1552480.972,58,129,26.7612
751396.0865,1552297.574,5,130,51.43141
751396.0865,1552297.574,6,130,51.43141
751396.0865,1552297.574,7,130,51.43141
751306.6045,1552429.517,10,130,22.6686
751306.6045,1552429.517,11,130,22.6686
751358.7444,1552490.023,4,131,33.60981
751358.7444,1552490.023,5,131,33.60981
751358.7444,1552490.023,6,131,33.60981
751358.7444,1552490.023,7,131,33.60981
751393.2635,1552244.084,12,131,51.54057
751667.2946,1552630.097,57,131,48.70765
751667.2946,1552630.097,58,131,48.70765
751753.0955,1552630.39,59,131,71.41389
751753.0955,1552630.39,60,131,71.41389
751607.5944,1552415.881,57,132,56.76267
751636.7059,1552477.378,57,132,49.55379
751607.5944,1552415.881,58,132,56.76267
751636.7059,1552477.378,58,132,49.55379
751607.5944,1552415.881,59,132,56.76267
751607.5944,1552415.881,60,132,56.76267
751420.695,1552311.652,11,133,40.30792
751420.695,1552311.652,12,133,40.30792
751607.5944,1552415.881,56,133,56.76267
751552.8528,1552367.192,2,134,78.15452
751552.8528,1552367.192,3,134,78.15452
751552.8528,1552367.192,4,134,78.15452
751335.2448,1552451.162,9,134,25.06894
751335.2448,1552451.162,10,134,25.06894
751335.2448,1552451.162,11,134,25.06894
751753.0955,1552630.39,56,134,71.41389
751753.0955,1552630.39,57,134,71.41389
751815.4829,1552484.677,59,134,92.7494
751815.4829,1552484.677,60,134,92.7494
751450.1249,1552417.649,12,135,61.41496
751334.1837,1552306.594,57,135,80.55895
751334.1837,1552306.594,58,135,80.55895
751753.0955,1552630.39,58,135,71.41389
751334.1837,1552306.594,59,135,80.55895
751395.0356,1552480.972,59,135,26.7612
751334.1837,1552306.594,60,135,80.55895
751395.0356,1552480.972,60,135,26.7612
751423.3939,1552454.466,2,136,39.81823
751423.3939,1552454.466,3,136,39.81823
